,PC1,PC2,PC3,PC4
E(HOMO),0.03190178836552319,0.052393059615073345,-0.21580394390489246,-0.04864007484004793
E(LUMO),-0.05634623988078413,0.23101892552528835,0.3494870552028184,-0.3947409913251788
He8_steric,0.18800054961598778,0.05077145191337193,-0.11907589903199486,-0.1468931739978858
PA,0.08514794313788021,0.03552722651536244,-0.2718329549913706,-0.15931606304920126
Q(Pd),0.15615732404670546,0.023770949880805303,0.039993005505656376,0.2938448601347806
BE(Pd),-0.13366613706751693,0.025454740383393015,0.00206271712196332,0.08317677505746313
Pd-Cl trans,0.03499050624256859,0.10409618665165578,-0.014949063236233337,-0.394284674989111
P-Pd,0.15862736241652017,0.2061575781905027,0.05627880053621204,0.01938351319911913
DP-A(Pd),0.13250343190378494,-0.0009891832103956794,0.017220895014170786,0.05756461011023306
DA-P-A(Pd),-0.04696091760237935,-0.019669189958781294,0.05924839330401274,-0.06960741060138491
BDE1,0.16270927091794496,0.00017825586007249062,0.06669568849508785,0.3247512151556895
BDE2,0.11910278664442606,-0.12025309969130284,-0.11097083447733515,-0.06305095371207754
BDE3,0.16133398299378943,0.04928988736927288,-0.040468772384061096,0.05432896809141599
COMP1,-0.12001546887035953,0.08014358325645804,0.12161689193760247,0.10088261760668939
DIM1,0.07048956257811077,0.11192596468746377,0.023680290867769776,0.021273684945978935
REORG1,-0.1461950847641528,0.05882945320194094,0.14842813177600644,0.0808321060684198
REDOX1,0.04501592560828595,-0.04363260354017209,0.0026420115057965133,-0.02293506922621938
REDOX2,0.2024079927982472,0.0019092149473527796,0.03900106435230174,0.15213834204938254
REDOX3,0.18489988641218338,0.13690008425047204,0.03906907945950139,0.15999982531598067
REDOX4,0.25172787388229,0.16821429705828264,0.06525467721993691,0.19986989235699804
A_NBO_P,0.07245944192288341,0.07422288055011622,-0.2572343210268984,0.07961022520149853
B_NBO_Pd,0.16666132918306448,-0.2550895525051304,-0.14851154873546812,0.006415401922807984
B_NBO_P,-0.05559245968387949,0.2606575301673627,-0.15314647103390772,-0.0749069803295371
B_LENGTH_Pd_P,0.20721262379474722,-0.08897390573075976,-0.25646995538711426,-0.23940519947408495
B_B1,-0.022457347203425237,-0.002414539894298905,-0.12673908957598987,0.08447233109592747
B_lval,-0.035753227611948234,-0.04703092050025949,-0.07248154435200961,0.09897629019162388
B_newB5,0.053034052355057315,-0.032454474649574114,-0.2067462124256466,0.11201742851895351
C_NBO_Pd,0.05034855116570503,-0.206859271224205,-0.1164036849562822,0.06263210534308794
C_NBO_P,-0.0451561900801101,0.27990392846155265,-0.12740983060803165,-0.03654747461712844
C_LENGTH_Pd_P,0.15504933913488436,0.025651972566793343,-0.12039149754850882,-0.11368998422367475
C_ANGLE_P_Pd_P,-0.07062158634117352,0.23477747571388677,0.20401628666865004,0.05021442803616158
D_NBO_Pd,0.16291339486095924,-0.026035824009077516,-0.10591865417967866,0.059825068486666175
D_NBO_P,-0.058695945964151425,0.2719667782703629,-0.11701519314191505,-0.020599528135556166
D_LENGTH_Pd_P,-0.009932439797194147,-0.01052973240907725,0.007025324585291779,0.025503611474714756
D_LENGTH_Pd_Pd,0.22040051276176523,0.017798427330535566,-0.11730151587551457,-0.06334361196427683
D_ANGLE_P_Pd_P,0.031452779017742634,-0.0014824015209471877,0.15331539386212717,-0.14444502970877213
D_ORDER_Pd_Pd,0.023668188142704074,-0.091768768741178,-0.036905499338003744,-0.12358147028058056
E_NBO_Pd,-0.10417279705628679,-0.06586196376633445,0.04228945997018571,0.0005923283302853161
E_NBO_P,-0.02330153232642687,0.13579369894548865,-0.14560417925163918,-0.10277082040637181
E_LENGTH_Pd_P,0.11784689028020054,0.13441488642606755,0.008152467675396876,-0.01682584742184738
E_ANGLE_I_Pd_I,-0.11244122630643397,-0.08461538494500476,-0.01666375719861958,-0.010028181121813667
F_NBO_Pd,0.23603976070512292,0.09952920363442554,-0.03150909965903618,-0.0520289092926631
F_NBO_P,-0.12338804283914914,0.27712489812581154,-0.10268545380594042,0.006979337081846439
F_LENGTH_Pd_P,0.23995900549522808,0.12594983327832812,-0.0020482438197110806,-0.1187196910977579
F_ANGLE_P_Pd_P,-0.06145604408770435,-0.142008724934585,-0.07017094150935027,-0.1954234972367268
F_ANGLE_I_Pd_I,-0.08655069422960321,-0.2669966164277218,-0.09645047627354127,-0.11968918917436586
G_NBO_Pd,0.14588549305178863,0.12888480771650468,0.03145932946059622,0.018175881149148795
G_NBO_P,-0.11462053113762295,0.18584531275991198,-0.15743303596650465,-0.12280389611347191
G_LENGTH_Pd_P,0.20261516947393068,0.21643602586819474,0.03402967655532394,0.03907278102488107
G_LENGTH_Pd_Pd,0.2626802002369132,-0.09843395106465691,0.2342064719967159,-0.1468021769678053
G_TORSION_Pd_I_I_Pd,0.24758632584976298,-0.15944195199914257,0.264866810549847,-0.15435597865305034
G_ORDER_Pd_Pd,-0.1894186933494804,0.10774586836910041,-0.28155501990912496,0.10910034526761037
